Latitude (decimal degrees):	52.546
Longitude (decimal degrees):	11.399
Elevation (m):	41
Radiation database:	PVGIS-SARAH2


Slope: 10 deg. 
Azimuth: 99 deg. 
Nominal power of the PV system (c-Si) (kWp):	1000.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,0.0,2.24,2.28,0.0
20200101:0111,0.0,0.0,0.0,1.89,2.28,0.0
20200101:0211,0.0,0.0,0.0,1.5,2.14,0.0
20200101:0311,0.0,0.0,0.0,1.15,2.07,0.0
20200101:0411,0.0,0.0,0.0,0.9,2.0,0.0
20200101:0511,0.0,0.0,0.0,0.76,1.86,0.0
20200101:0611,0.0,0.0,0.0,0.63,1.86,0.0
20200101:0711,0.0,0.0,0.0,0.27,1.79,0.0
20200101:0811,12260.0,25.7,4.22,0.48,1.66,0.0
20200101:0911,48640.0,76.13,9.55,1.1,1.59,0.0
20200101:1011,84530.0,117.12,13.05,1.67,1.59,0.0
20200101:1111,108650.0,145.1,14.43,2.08,1.86,0.0
20200101:1211,138880.0,188.62,13.56,2.26,1.93,0.0
20200101:1311,125870.0,179.48,10.52,2.32,2.0,0.0
20200101:1411,57510.0,100.74,5.57,2.08,1.93,0.0
20200101:1511,0.0,0.0,0.0,1.37,1.79,0.0
20200101:1611,0.0,0.0,0.0,0.63,1.86,0.0
20200101:1711,0.0,0.0,0.0,0.04,1.79,0.0
20200101:1811,0.0,0.0,0.0,-0.46,1.79,0.0
20200101:1911,0.0,0.0,0.0,-0.63,2.0,0.0
20200101:2011,0.0,0.0,0.0,-0.94,2.07,0.0
20200101:2111,0.0,0.0,0.0,-1.17,2.07,0.0
20200101:2211,0.0,0.0,0.0,-1.34,2.07,0.0
20200101:2311,0.0,0.0,0.0,-1.58,1.93,0.0
20200102:0011,0.0,0.0,0.0,-1.83,1.79,0.0
20200102:0111,0.0,0.0,0.0,-2.1,1.66,0.0
20200102:0211,0.0,0.0,0.0,-2.24,1.52,0.0
20200102:0311,0.0,0.0,0.0,-2.63,1.59,0.0
20200102:0411,0.0,0.0,0.0,-2.86,1.79,0.0
20200102:0511,0.0,0.0,0.0,-2.81,2.0,0.0
20200102:0611,0.0,0.0,0.0,-2.67,2.07,0.0
20200102:0711,0.0,0.0,0.0,-2.61,2.0,0.0
20200102:0811,11740.0,24.71,4.25,-2.55,1.86,0.0
20200102:0911,27910.0,67.49,9.6,-1.3,1.52,0.0
20200102:1011,89000.0,148.96,13.12,0.8,1.24,0.0
20200102:1111,140930.0,205.64,14.51,2.03,1.45,0.0
20200102:1211,156880.0,218.35,13.66,2.54,1.66,0.0
20200102:1311,135300.0,194.33,10.63,2.33,2.0,0.0
20200102:1411,62360.0,108.21,5.69,1.86,2.34,0.0
20200102:1511,0.0,0.0,0.0,0.96,2.55,0.0
20200102:1611,0.0,0.0,0.0,0.23,2.48,0.0
20200102:1711,0.0,0.0,0.0,0.13,2.48,0.0
20200102:1811,0.0,0.0,0.0,0.46,2.48,0.0
20200102:1911,0.0,0.0,0.0,-0.01,2.55,0.0
20200102:2011,0.0,0.0,0.0,0.07,2.62,0.0
20200102:2111,0.0,0.0,0.0,0.48,2.69,0.0
20200102:2211,0.0,0.0,0.0,1.05,2.76,0.0
